ENTRY,ENV,REP,GEN,Female,Male,Female x Male,Yield t/ha,yield g/plant (g),Plant Number,Ear weight (g),grain weight (g),Plant Height (m),Culm Diameter (cm),F. D. Female,F. D. Male,Dry matter mass (g),Root Weight (g)
1,CKOKWE OPT,I,45,CML434,MOZL10,CML434 x MOZL10,7,131,22,3593,2886,1.78,3.16,19/9,18/09,152,13
2,CKOKWE OPT,I,2,CML366,MOZL3,CML366 x MOZL3,6.81,128,24,3734,3063,1.96,3.22,20/09,19/09,172,14
3,CKOKWE OPT,I,37,CML366,MOZL9,CML366 x MOZL9,7.47,140,20,3316,2801,1.79,3.19,18/09,18/09,88,14
4,CKOKWE OPT,I,16,CML366,MOZL6,CML366 x MOZL6,7.51,141,23,3850,3240,2.04,3.27,19/09,18/09,135,31
5,CKOKWE OPT,I,26,CML439,MOZL7,CML439 x MOZL7,7.43,139,20,3496,2786,1.67,2.89,18/09,18/09,150,16
6,CKOKWE OPT,I,40,CML439,MOZL9,CML439 x MOZL9,5.71,107,26,3672,2786,1.55,2.75,17/09,16/09,94,14
7,CKOKWE OPT,I,7,CML532,MOZL3,CML532 x MOZL3,7.19,135,16,2841,2157,1.31,2.51,26/09,22/09,92,17
8,CKOKWE OPT,I,28,CML532,MOZL7,CML532 x MOZL7,6.24,117,20,3029,2340,1.56,2.74,27/09,23/09,177,34
9,CKOKWE OPT,I,10,CML434,MOZL5,CML434 x MOZL5,5.79,109,23,2994,2499,1.53,2.82,20/09,19/09,215,33
10,CKOKWE OPT,I,19,CML439,MOZL6,CML439 x MOZL6,6.23,117,22,3107,2568,1.14,2.15,25/09,20/09,153,38
11,CKOKWE OPT,I,35,CML532,MOZL8,CML532 x MOZL8,4.51,84,21,2245,1774,1.22,2.18,23/09,22/09,62,13
12,CKOKWE OPT,I,0,Check,Check,NAMULONGUE,4.05,76,13,1336,988,1.34,2.13,27/09,23/09,165,21
13,CKOKWE OPT,I,29,CML364,MOZL8,CML364 x MOZL8,3.33,63,20,2570,1250,1.57,2.86,22/09,19/09,69,10
14,CKOKWE OPT,I,14,CML532,MOZL5,CML532 x MOZL5,7.38,138,20,3499,2766,1.44,2.62,21/09,20/09,51,8
15,CKOKWE OPT,I,48,CML530,MOZL10,CML530 x MOZL10,10.61,199,12,2785,2387,1.41,2.58,22/09,20/09,87,11
16,CKOKWE OPT,I,30,CML366,MOZL8,CML366 x MOZL8,7.98,150,18,3259,2692,1.1,2.12,18/09,18/09,81,13
17,CKOKWE OPT,I,4,CML435,MOZL3,CML435 x MOZL3,10.45,196,13,3029,2546,1.38,2.5,20/09,19/09,153,38
18,CKOKWE OPT,I,17,CML434,MOZL6,CML434 x MOZL6,5.91,111,25,3360,2772,1.62,2.98,20/09,18/09,65,8
19,CKOKWE OPT,I,9,CML366,MOZL5,CML366 x MOZL5,8.04,151,21,3377,3166,1.54,2.81,20/09,19/09,87,15
20,CKOKWE OPT,I,43,CML364,MOZL10,CML364 x MOZL10,6.05,114,20,2878,2270,1.59,2.88,22/09,20/09,125,14
21,CKOKWE OPT,I,13,CML530,MOZL5,CML530 x MOZL5,5.47,103,18,3144,1845,1.39,2.71,20/09,19/09,68,10
22,CKOKWE OPT,I,32,CML435,MOZL8,CML435 x MOZL8,4.8,90,20,2223,1801,1.23,2.25,19/09,18/09,85,14
23,CKOKWE OPT,I,22,CML364,MOZL7,CML364 x MOZL7,7.21,135,25,4238,3381,1.57,2.75,23/09,20/09,191,39
24,CKOKWE OPT,I,39,CML435,MOZL9,CML435 x MOZL9,4.04,76,20,2076,1516,0.99,1.82,22/09,18/09,72,11
25,CKOKWE OPT,I,47,CML439,MOZL10,CML439 x MOZL10,3.04,57,15,1121,855,0.89,1.79,29/09,24/09,72,13
26,CKOKWE OPT,I,25,CML435,MOZL7,CML435 x MOZL7,5.85,110,13,2175,1425,1.53,2.85,24/09,20/09,85,11
