accession_number,cml_id,accession_name
CIMMYTMA 29755,CML535,CML 535
CIMMYTMA 29754,CML534,CML 534
CIMMYTMA 29753,CML533,CML 533
CIMMYTMA 29752,CML532,CML 532
CIMMYTMA 29751,CML531,CML 531
CIMMYTMA 29750,CML530,CML 530
CIMMYTMA 28038,CML439,CML 439
CIMMYTMA 28037,CML438,CML 438
CIMMYTMA 28035,CML436,CML 436
CIMMYTMA 28034,CML435,CML 435
CIMMYTMA 28033,CML434,CML 434
CIMMYTMA 27991,CML366,CML 366
CIMMYTMA 27990,CML365,CML 365
CIMMYTMA 27989,CML364,CML 364
CIMMYTMA 27988,CML363,CML 363
CIMMYTMA 27987,CML362,CML 362
CIMMYTMA 27986,CML361,CML 361
CIMMYTMA 27985,CML360,CML 360
CIMMYTMA 27984,CML359,CML 359
CIMMYTMA 27983,CML358,CML 358
CIMMYTMA 27982,CML357,CML 357
