trait	model	n	shapiro_p	peak_chr	peak_cM	peak_Mb	lod	perm_thr_0.05	perm_thr_0.10	sig05	sig10	ci_lo_cM	ci_hi_cM	ci_lo_Mb	ci_hi_Mb	sig05_bonf
EH	normal	166	0.162	10	145.4	151.33	2.786	3.874	3.486	FALSE	FALSE	106	151.5	142.89	153.09	FALSE
EW	normal	166	0.272	1	219.1	287.78	4.107	3.921	3.513	TRUE	TRUE	212	223	286.38	291.24	FALSE
GY	normal	166	0.435	1	146.7	213.46	3.547	3.791	3.485	FALSE	TRUE	121.2	164	202	259.45	FALSE
GYPP	normal	166	0.435	1	146.7	213.46	3.547	3.814	3.444	FALSE	TRUE	121.2	164	202	259.45	FALSE
HI	normal	166	0.0568	5	166.2	219.84	3.812	3.789	3.451	TRUE	TRUE	152	184	215.97	223.4	FALSE
PAPP	np	166		2	29.1	6.93	2.745	3.523	3.291	FALSE	FALSE	21	52	4.24	11.1	FALSE
PH	normal	166	0.000198	5	78.5	19.61	3.908	3.849	3.538	TRUE	TRUE	75.9	82	17.06	30.61	FALSE
PUE	normal	166	0.435	1	146.7	213.46	3.547	3.766	3.488	FALSE	TRUE	121.2	164	202	259.45	FALSE
RSR	normal	166	1.06e-06	9	98	148.71	3.788	3.904	3.574	FALSE	TRUE	89	113	143.91	154.59	FALSE
RW	normal	166	6.42e-11	2	171.7	217.82	1.802	3.874	3.534	FALSE	FALSE	132	195	157.94	227.46	FALSE
RYE	normal	166	0.00163	5	42	6.84	2.581	3.918	3.491	FALSE	FALSE	1	62	1.07	11.44	FALSE
SD	normal	166	2.29e-07	2	171.7	217.82	2.688	3.745	3.444	FALSE	FALSE	114	185	31.02	222.5	FALSE
SW	normal	166	7.08e-08	2	171.7	217.82	3.086	3.88	3.508	FALSE	FALSE	149	185	193.07	222.5	FALSE
TDM	normal	166	6.69e-08	2	171.7	217.82	2.983	3.775	3.445	FALSE	FALSE	148.5	185	192.72	222.5	FALSE
